日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-06-20,'000338,潍柴动力,8.87,9.07,8.74,8.94,8.86,0.01,0.1129,2.076,91586902,817348797.34,70935505991.7,39131491150.8
2018-06-19,'000338,潍柴动力,8.86,9.4,8.8,9.4,9.52,-0.66,-6.9328,3.458,152555519,1381424114.84,70855533606.2,39087374475.3
2018-06-15,'000338,潍柴动力,9.52,9.65,9.31,9.51,9.45,0.07,0.7407,2.8319,124934078,1187463575.13,76133711053.1,41999075057.0
2018-06-14,'000338,潍柴动力,9.45,9.8,9.37,9.77,9.75,-0.3,-3.0769,3.3247,146673047,1401261824.04,75573904354.2,41690258328.6
2018-06-13,'000338,潍柴动力,9.75,9.88,9.63,9.66,9.72,0.03,0.3086,3.7844,166953626,1627777078.64,77973075921.0,43013758593.0
2018-06-12,'000338,潍柴动力,9.72,9.89,8.98,8.98,8.99,0.73,8.1201,6.7897,299538888,2869506449.13,77733158764.3,42881408566.6
2018-06-11,'000338,潍柴动力,8.99,9.06,8.78,8.84,8.85,0.14,1.5819,1.3561,59827715,535947925.73,71895174618.4,39660891256.5
2018-06-08,'000338,潍柴动力,8.85,9.03,8.76,9.02,9.03,-0.18,-1.9934,1.5804,69723662,617223600.62,70775561220.6,39043257799.8
2018-06-07,'000338,潍柴动力,9.03,9.07,8.89,8.95,8.89,0.14,1.5748,1.6682,73595359,660140939.08,72215064160.7,39837357958.4
2018-06-06,'000338,潍柴动力,8.89,9.03,8.88,8.95,8.98,-0.09,-1.0022,1.3593,59967710,536173049.82,71095450762.8,39219724501.7
2018-06-05,'000338,潍柴动力,8.98,8.99,8.85,8.97,8.96,0.02,0.2232,1.4367,63381850,564845653.69,71815202232.9,39616774581.0
2018-06-04,'000338,潍柴动力,8.96,9.04,8.68,8.71,8.67,0.29,3.3449,2.5743,113571365,1013266592.62,71655257461.8,39528541230.1
2018-06-01,'000338,潍柴动力,8.67,8.82,8.64,8.67,8.73,-0.06,-0.6873,1.4571,64280225,560957476.31,69336058280.5,38249157641.2
2018-05-31,'000338,潍柴动力,8.73,8.73,8.49,8.51,8.43,0.3,3.5587,1.2169,53685415,462656957.55,69815892593.9,38513857694.0
2018-05-30,'000338,潍柴动力,8.43,8.58,8.35,8.54,8.64,-0.21,-2.4306,1.1859,52319844,442792112.37,67416721027.1,37190357429.6
2018-05-29,'000338,潍柴动力,8.64,8.78,8.63,8.73,8.73,-0.09,-1.0309,0.8819,38908619,338372963.58,69096141123.8,38116807614.7
2018-05-28,'000338,潍柴动力,8.73,8.74,8.58,8.58,8.57,0.16,1.867,1.4625,64520705,560657069.29,69815892593.9,38513857694.0
2018-05-25,'000338,潍柴动力,8.57,8.59,8.43,8.45,8.43,0.14,1.6607,1.0473,46203993,394450462.48,68536334424.9,37807990886.4
